post_id,post_type,likes,comments,date_posted,vectorize,content,metadata,username
2914643429422529070,static-image,1653,11,2022-08-28T07:43:14,"A post with username:""arshgoyalyt"", post_id: ""2914643429422529070"", post_type: ""static-image"", likes: 1653, comments: 11, date_posted: ""2022-08-28T07:43:14"".","A post with username:""arshgoyalyt"", post_id: ""2914643429422529070"", post_type: ""static-image"", likes: 1653, comments: 11, date_posted: ""2022-08-28T07:43:14"".","{'post_type': 'static-image', 'username': 'arshgoyalyt'}",arshgoyalyt
2894589747708405034,static-image,529,1,2022-07-31T15:40:09,"A post with username:""arshgoyalyt"", post_id: ""2894589747708405034"", post_type: ""static-image"", likes: 529, comments: 1, date_posted: ""2022-07-31T15:40:09"".","A post with username:""arshgoyalyt"", post_id: ""2894589747708405034"", post_type: ""static-image"", likes: 529, comments: 1, date_posted: ""2022-07-31T15:40:09"".","{'post_type': 'static-image', 'username': 'arshgoyalyt'}",arshgoyalyt
2882213460109141635,reels,547,7,2022-07-14T13:52:21,"A post with username:""arshgoyalyt"", post_id: ""2882213460109141635"", post_type: ""reels"", likes: 547, comments: 7, date_posted: ""2022-07-14T13:52:21"".","A post with username:""arshgoyalyt"", post_id: ""2882213460109141635"", post_type: ""reels"", likes: 547, comments: 7, date_posted: ""2022-07-14T13:52:21"".","{'post_type': 'reels', 'username': 'arshgoyalyt'}",arshgoyalyt
2881615217563641902,static-image,637,16,2022-07-13T18:02:04,"A post with username:""arshgoyalyt"", post_id: ""2881615217563641902"", post_type: ""static-image"", likes: 637, comments: 16, date_posted: ""2022-07-13T18:02:04"".","A post with username:""arshgoyalyt"", post_id: ""2881615217563641902"", post_type: ""static-image"", likes: 637, comments: 16, date_posted: ""2022-07-13T18:02:04"".","{'post_type': 'static-image', 'username': 'arshgoyalyt'}",arshgoyalyt
2879429395349934624,reels,476,7,2022-07-10T17:40:40,"A post with username:""arshgoyalyt"", post_id: ""2879429395349934624"", post_type: ""reels"", likes: 476, comments: 7, date_posted: ""2022-07-10T17:40:40"".","A post with username:""arshgoyalyt"", post_id: ""2879429395349934624"", post_type: ""reels"", likes: 476, comments: 7, date_posted: ""2022-07-10T17:40:40"".","{'post_type': 'reels', 'username': 'arshgoyalyt'}",arshgoyalyt
2879070109910186709,reels,493,20,2022-07-10T05:46:22,"A post with username:""arshgoyalyt"", post_id: ""2879070109910186709"", post_type: ""reels"", likes: 493, comments: 20, date_posted: ""2022-07-10T05:46:22"".","A post with username:""arshgoyalyt"", post_id: ""2879070109910186709"", post_type: ""reels"", likes: 493, comments: 20, date_posted: ""2022-07-10T05:46:22"".","{'post_type': 'reels', 'username': 'arshgoyalyt'}",arshgoyalyt
2866005788741585699,static-image,1224,12,2022-06-22T05:08:55,"A post with username:""arshgoyalyt"", post_id: ""2866005788741585699"", post_type: ""static-image"", likes: 1224, comments: 12, date_posted: ""2022-06-22T05:08:55"".","A post with username:""arshgoyalyt"", post_id: ""2866005788741585699"", post_type: ""static-image"", likes: 1224, comments: 12, date_posted: ""2022-06-22T05:08:55"".","{'post_type': 'static-image', 'username': 'arshgoyalyt'}",arshgoyalyt
2865592132019339159,reels,8035,51,2022-06-21T15:30:05,"A post with username:""arshgoyalyt"", post_id: ""2865592132019339159"", post_type: ""reels"", likes: 8035, comments: 51, date_posted: ""2022-06-21T15:30:05"".","A post with username:""arshgoyalyt"", post_id: ""2865592132019339159"", post_type: ""reels"", likes: 8035, comments: 51, date_posted: ""2022-06-21T15:30:05"".","{'post_type': 'reels', 'username': 'arshgoyalyt'}",arshgoyalyt
2847566366032920440,static-image,1095,8,2022-05-27T18:33:05,"A post with username:""arshgoyalyt"", post_id: ""2847566366032920440"", post_type: ""static-image"", likes: 1095, comments: 8, date_posted: ""2022-05-27T18:33:05"".","A post with username:""arshgoyalyt"", post_id: ""2847566366032920440"", post_type: ""static-image"", likes: 1095, comments: 8, date_posted: ""2022-05-27T18:33:05"".","{'post_type': 'static-image', 'username': 'arshgoyalyt'}",arshgoyalyt
2847388226994786584,reels,590,7,2022-05-27T12:40:58,"A post with username:""arshgoyalyt"", post_id: ""2847388226994786584"", post_type: ""reels"", likes: 590, comments: 7, date_posted: ""2022-05-27T12:40:58"".","A post with username:""arshgoyalyt"", post_id: ""2847388226994786584"", post_type: ""reels"", likes: 590, comments: 7, date_posted: ""2022-05-27T12:40:58"".","{'post_type': 'reels', 'username': 'arshgoyalyt'}",arshgoyalyt
2841699959397778798,static-image,1053,11,2022-05-19T16:17:34,"A post with username:""arshgoyalyt"", post_id: ""2841699959397778798"", post_type: ""static-image"", likes: 1053, comments: 11, date_posted: ""2022-05-19T16:17:34"".","A post with username:""arshgoyalyt"", post_id: ""2841699959397778798"", post_type: ""static-image"", likes: 1053, comments: 11, date_posted: ""2022-05-19T16:17:34"".","{'post_type': 'static-image', 'username': 'arshgoyalyt'}",arshgoyalyt
2841370487331358453,static-image,902,8,2022-05-19T05:22:58,"A post with username:""arshgoyalyt"", post_id: ""2841370487331358453"", post_type: ""static-image"", likes: 902, comments: 8, date_posted: ""2022-05-19T05:22:58"".","A post with username:""arshgoyalyt"", post_id: ""2841370487331358453"", post_type: ""static-image"", likes: 902, comments: 8, date_posted: ""2022-05-19T05:22:58"".","{'post_type': 'static-image', 'username': 'arshgoyalyt'}",arshgoyalyt
2840606709891094193,reels,552,21,2022-05-18T04:05:47,"A post with username:""arshgoyalyt"", post_id: ""2840606709891094193"", post_type: ""reels"", likes: 552, comments: 21, date_posted: ""2022-05-18T04:05:47"".","A post with username:""arshgoyalyt"", post_id: ""2840606709891094193"", post_type: ""reels"", likes: 552, comments: 21, date_posted: ""2022-05-18T04:05:47"".","{'post_type': 'reels', 'username': 'arshgoyalyt'}",arshgoyalyt
2833469249377532533,reels,490,8,2022-05-08T07:47:10,"A post with username:""arshgoyalyt"", post_id: ""2833469249377532533"", post_type: ""reels"", likes: 490, comments: 8, date_posted: ""2022-05-08T07:47:10"".","A post with username:""arshgoyalyt"", post_id: ""2833469249377532533"", post_type: ""reels"", likes: 490, comments: 8, date_posted: ""2022-05-08T07:47:10"".","{'post_type': 'reels', 'username': 'arshgoyalyt'}",arshgoyalyt
